energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.011513413709830639,0.09543765151355078,0.09474062819703195,0.00022546907664063953,0,-0.011513413709830639,0.009108345326421963,0.0009315641257529558,0.008975786631168247,0.0008486021711676029,5.083630452118258e-08,4.806241521050739e-09,9908.357270937284,0.0031610675491147936,0.05698926837769473
primary,-0.00011456851951488629,0.058750499921778346,0.058750388212446845,0.0001399627500796691,0,-0.00011456851951488629,0.003451621241058877,0.000744380905532399,0.0034516081151132133,0.0007324672163406701,1.958957140986391e-08,4.157111225072884e-09,19626.98257777478,0.0015518205689317866,0.03141582243162919
secondary,0.005095402789937675,0.27073695144353566,0.2706889982015296,0.0006501024530063922,0,0.005095402789937675,0.07329849687693939,0.023217103251635514,0.07327253374734768,0.017844433607216822,4.2263319940492837e-07,1.0292601717570417e-07,2937.8268401083646,-0.017714558532666517,0.19441065563944343
