energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.010470716381502229,0.09437813958667349,0.09379550804969163,0.00022322070343109941,0,-0.010470716381502229,0.008907233231841625,0.0009090587149117975,0.008797597330299766,0.0008297199110653738,4.982748244027484e-08,4.699334687275078e-09,10038.887026314726,0.003711443838841764,0.05613510275716066
primary,-4.195178415046246e-05,0.05819517619406586,0.0581951610729464,0.00013863603758527905,0,-4.195178415046246e-05,0.00338667853225837,0.0007394183027444227,0.0033866767723061764,0.000727948711263563,1.921995091734691e-08,4.131229355940064e-09,19829.123512470545,0.00131499899327108,0.03126444252811772
secondary,0.010533338912805595,0.26960403704006997,0.2693981914557917,0.0006470627900963933,0,0.010533338912805595,0.07268633678830343,0.023142890066137362,0.0725753855596514,0.01785958651043469,4.18690254327329e-07,1.0303265715466014e-07,2970.3756478166283,-0.013613850363860562,0.19244523025314622
