energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.009920961637357508,0.0945856499047892,0.0940639127832849,0.0002238597859922099,0,-0.009920961637357508,0.008946445167911349,0.0009145454942697211,0.008848019688101429,0.0008345066131272768,5.011320378447801e-08,4.726458737357906e-09,9955.826241298828,0.004174933989456225,0.05684309764234688
primary,-0.0008635301951422051,0.05962716053203322,0.05962090731207416,0.00014203497765545554,0,-0.0008635301951422051,0.00355539827311286,0.0007672610642277581,0.0035546525887149376,0.0007546202073473042,2.017393487758575e-08,4.282741713962646e-09,19282.78233825099,0.0013405676122705261,0.03236142672052893
secondary,0.013938715155866118,0.26980368204905614,0.2694433874991773,0.0006475197706960411,0,0.013938715155866118,0.07279402684722819,0.023225903033035063,0.07259973906703182,0.017926932688400087,4.1928185344225367e-07,1.0353256996126302e-07,2953.1201137823778,-0.009054396981534351,0.1934563209216911
