energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.010695104491661438,0.09442752847096102,0.09381989593389345,0.00022327997551337147,0,-0.010695104491661438,0.008916558133134153,0.0008796828094423286,0.008802172873046596,0.0008001778005007678,4.985394746525177e-08,4.532065275743512e-09,9744.33812386366,0.00391213341955382,0.0598375380625493
primary,-0.0011712427916696314,0.06076080945094088,0.06074951979609805,0.00014472620319775953,0,-0.0011712427916696314,0.0036918759651335467,0.0008098299716670029,0.0036905041554565086,0.0007962000235250721,2.0945673892039182e-08,4.518880170052858e-09,18885.776996644778,0.0003787974099291706,0.03257308825275112
secondary,0.02242817185733136,0.2738779367862105,0.272958057886939,0.0006572241933122688,0,0.02242817185733136,0.07500912425827151,0.024714794496366124,0.07450610136540953,0.019088425774373308,4.319436402749626e-07,1.1066374384110694e-07,2918.2918756433037,-0.009017547080003888,0.19472284693662817
