energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.011880262797202648,0.09534165023076929,0.09459857094372913,0.00022513273162923908,0,-0.011880262797202648,0.009090030268726351,0.0009260235726840642,0.008948889624595753,0.000843394922397703,5.0684746850842986e-08,4.776822592550967e-09,9990.226526959097,0.003669272067317683,0.0563390216186354
primary,-0.0016506359239527575,0.059048675340482186,0.059025600043643996,0.00014061555993701965,0,-0.0016506359239527575,0.003486746059465669,0.000766707166609301,0.003484021460512226,0.0007545497685261017,1.9772735696401567e-08,4.282267865437919e-09,19606.353423675846,0.00048490262658660346,0.03166381831860874
secondary,0.004510996531698497,0.27077404268550853,0.2707364643016242,0.0006500336115560665,0,0.004510996531698497,0.07331858219225361,0.023246682166405627,0.07329823310254462,0.01787106767172338,4.2254369615262315e-07,1.0302167826664158e-07,2938.683686203675,-0.016279021305886248,0.194813494919848
