energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.007712742564398444,0.09523072087539865,0.09491787924613257,0.00022579582994596868,0,-0.007712742564398444,0.009068890198448087,0.0009096341581987557,0.009009403800583404,0.000827389388767248,5.098375682098881e-08,4.682154371906868e-09,9713.420975974832,0.007345390943880089,0.05940877919948828
primary,-0.000638349697342095,0.05915850946241228,0.059155065307023594,0.00014088181274748407,0,-0.000638349697342095,0.003499729241814323,0.0007308010837967149,0.003499321751478226,0.0007185529790307046,1.984768516301716e-08,4.075536436375116e-09,18901.83013688037,0.0008110882104968917,0.03265900520030682
secondary,0.020907834856363966,0.27501367622303347,0.2742177684821436,0.0006593336779200874,0,0.020907834856363966,0.07563252210970749,0.024659290338029854,0.0751953845513265,0.018939011937354464,4.3472089883962945e-07,1.0949055373101307e-07,2889.4586598216415,-0.007035640560403908,0.19739014642569777
