energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.008588218718676535,0.0949822740406494,0.09459320737332674,0.00022511862479822274,0,-0.008588218718676535,0.009021632381933023,0.0009138972207423158,0.008947874881173197,0.0008325073699075732,5.067839523104298e-08,4.715101416281801e-09,10061.9875163595,0.0051951499105496535,0.054633681760818543
primary,-0.0002015883194440693,0.05951155099369227,0.05951120956445348,0.0001417712796847353,0,-0.0002015883194440693,0.0035416247016748356,0.0007790331144360055,0.003541584063824299,0.0007664900089084922,2.009909574344744e-08,4.349961993789895e-09,19408.102808016567,0.0015375113660926496,0.03192023175223486
secondary,0.013637096508237306,0.2721690034744795,0.2718271436981896,0.0006533638674921341,0,0.013637096508237306,0.07407596645229121,0.023739633389007603,0.07388999605111624,0.01825238458316663,4.2688434334427903e-07,1.0544941972743038e-07,2918.6575937296598,-0.00862590021911142,0.196151515841279
