energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.016366113025046952,0.09943115519894635,0.09807499665382785,0.00023340716244995768,0,-0.016366113025046952,0.009886554624196955,0.0008773259925224168,0.009618704968648344,0.0007795820301851866,5.447890348294093e-08,4.4154357907769446e-09,8672.92521173479,0.006076717727737077,0.07033979383507541
primary,0.009195000452980833,0.07267930244755555,0.07209530477730804,0.00017178293833419937,0,0.009195000452980833,0.005282281004263254,0.001114897037253941,0.005197732970932936,0.0010869945446459405,2.9509377902731347e-08,6.171254463348674e-09,15938.715640858567,0.005062605896488573,0.03765281632711852
secondary,0.01367982874800669,0.2935264007837842,0.2932074525698621,0.0007178602725313899,0,0.01367982874800669,0.08615774795708271,0.03079620330930517,0.08597061024250792,0.023373045776268978,5.153233708788414e-07,1.4010225940186407e-07,2713.566406554679,-0.05157211236764851,0.19987020758873478
