epoch,loss,target_primary_cl_mean_relative_error,target_primary_cl_ms_relative_error,target_primary_loss,target_total_cl_mean_relative_error,target_total_cl_ms_relative_error,target_total_loss,train_time,val_loss,val_target_primary_cl_mean_relative_error,val_target_primary_cl_ms_relative_error,val_target_primary_loss,val_target_total_cl_mean_relative_error,val_target_total_cl_ms_relative_error,val_target_total_loss
0,59.680437271118166,0.11707309879222885,0.10685818009823561,30.703254131317138,0.14699302715575321,0.0952236226350069,28.59375375366211,96.11274656601017,40.03890195678711,-0.1913400716781616,0.09785825053930283,20.370868499755858,-0.15711729563713073,0.08700682252883911,19.280441036987305
1,21.41950814437866,0.006303222429472953,0.021501966435462237,10.982555448532105,0.011472553810686804,0.020203031066805124,10.046206439971924,154.14493681900785,24.732693435668946,-0.04933153881311417,0.023863387836813927,14.03802193145752,-0.04916862596750259,0.021463407735228538,10.301786338500976
2,17.477525945279183,0.004529015914406185,0.011890491955021235,8.421483576154666,0.009074103552027443,0.015184955218393711,8.662548969017559,205.2852159590111,16.810187586669922,-0.02362907097876072,0.009334897383749485,7.932091813659668,0.001813077038489282,0.013499904282093049,8.484643042297364
3,16.155939441680907,0.002132683158037253,0.008868128098547458,7.468084402084351,0.008487345202593134,0.013618849225342273,8.294681753158569,214.67863915898488,15.450238772888184,-0.06605539331912995,0.011822968861162662,7.325869315490722,-0.024430823243260385,0.013946303036212922,7.731810728912354
4,15.019108200073243,0.0015844985672738403,0.007937094487249852,6.760783155441284,0.0074037847891449925,0.01297653741389513,7.866592426300048,224.21040437900228,14.173897387084962,0.001707146098576486,0.006585414018630982,5.844115207519531,0.000719010716304183,0.011924691459834576,7.939649422760009
5,14.669877929169393,0.0018869963888004508,0.0072065179530805615,6.602647169846777,0.008727660295364627,0.0121591269540893,7.67873905430002,233.58832646498922,18.328238599853517,0.023139260362386702,0.00874574402987957,7.396364320373535,0.024062058161497115,0.01874357654929161,10.544896405944824
6,14.375945011138915,0.0013776901656528935,0.006626943608745933,6.322397219657898,0.007717359252041206,0.012095593683421611,7.667538446426391,242.99060337099945,13.363571233215332,-0.005757317479774356,0.005221398652791977,5.845955030212402,0.030092323890924453,0.01265755641400814,7.132674184875488
7,13.809218605041504,0.0007843773517524823,0.006426768789067864,6.067056394577026,0.007927627240424045,0.01156482233479619,7.358432083129883,252.38966819699272,12.971375392456055,-0.0031725599920749666,0.005978932234942913,5.38447029296875,0.009819963433146476,0.01386054217338562,7.204284981689453
8,13.83404609878305,0.0017477555065862401,0.006112478593978305,6.067732161759904,0.008427648967343214,0.011509936950118458,7.384795410445287,261.76222768600564,12.01324669494629,-0.01438328775703907,0.005308219950348139,5.031889994049072,0.018876254681944846,0.011081388941407203,6.601082901916504
9,13.62484750366211,0.0016026006953325123,0.005783677656203508,5.882732407569885,0.008526798481296283,0.011346060410141945,7.363348915100097,271.26434873999096,13.209910729980468,0.013434896907508374,0.006340089720338583,6.1007722135925295,0.023210453147292136,0.01112765492618084,6.731353904571534
10,13.299952499389649,0.001183577459276421,0.005771756588481366,5.77659192943573,0.008474275323329493,0.0112818458750844,7.14617448425293,280.8107814989926,12.81405359588623,0.024604608026742934,0.005893327582329511,5.413244779052734,-0.005055826596920379,0.011586783930957318,7.0245741625976565
