epoch,loss,target_primary_cl_mean_relative_error,target_primary_cl_ms_relative_error,target_primary_loss,target_total_cl_mean_relative_error,target_total_cl_ms_relative_error,target_total_loss,train_time,val_loss,val_target_primary_cl_mean_relative_error,val_target_primary_cl_ms_relative_error,val_target_primary_loss,val_target_total_cl_mean_relative_error,val_target_total_cl_ms_relative_error,val_target_total_loss
0,75.98144282531739,0.12164492870867252,0.12057039380073548,32.905450508117674,0.15615133082307875,0.10742842000722885,31.138434371948243,95.44190306200471,47.308060383300784,-0.1406918185520172,0.09156710935592652,19.15559313720703,-0.156922453789711,0.08764003306865692,16.325894871826172
1,34.43996780395508,0.008587640843819827,0.027577303528785707,11.84359741783142,0.01237973738857545,0.02818674373626709,11.132777770996094,153.49410040200746,28.126346809692382,-0.013248732202351093,0.010429966987669468,7.541456495056153,-0.02886135188102722,0.019339427198171617,9.619727501831054
2,28.83526270658498,0.005711131908136394,0.014883059224446177,8.97186099710329,0.008842055043968976,0.019726888283241983,9.490112113686338,204.32984507900255,24.67234663635254,-0.011658900969922543,0.006613964290618896,6.658220697937011,0.011207481496334076,0.013964251790046692,8.246678741760254
3,26.28754981994629,0.0044044354821089655,0.011239181369543076,8.110200145721436,0.008818132425891235,0.016656266301870348,8.988520387649537,214.82322785000724,24.637841038818358,-0.061774782830476764,0.01193127996057272,8.924359836425781,-0.00444084997780621,0.011718398688733579,7.115299127197265
4,24.021748107910156,0.002029754440532997,0.00985921728797257,7.477523431777954,0.00832266591244843,0.01489182211086154,8.524020376205444,225.32348229300987,22.105492938232423,-0.04388881472826004,0.008009484033882618,6.876680122375488,-0.010465379804968833,0.01205774040043354,7.8185207983398435
5,22.493728696041995,0.004033967902751072,0.008889467071116267,7.290398813070026,0.008551717799823687,0.014056187442263278,8.308067646626288,235.7906106510054,20.165749120483397,-0.015154605380296707,0.0061285154613852505,5.6438998834228515,0.010816886785924434,0.013645568533539772,8.097580372161865
6,21.33359407043457,0.002860857338877395,0.008402320902794599,7.022573051452636,0.00915716393571347,0.013731368441134692,8.267824573516846,246.187801787004,18.709821530151366,-0.007590353365242481,0.005782712109982968,5.843700135192871,0.0013474681471288205,0.011030354303121567,7.191240433044434
7,20.186633071899415,0.0019785144933266567,0.00797091668844223,6.8003947601318355,0.008945269391639157,0.013208339426666499,8.014380626678467,256.47601479600416,16.93099503814697,0.0012311455193161965,0.006033725603073835,5.21880632888794,0.01131310262799263,0.010676329054236412,6.626989906921387
8,19.77021889120354,0.0025230604004061893,0.007698157039763778,6.86062892289925,0.008930897111237308,0.012902701650731194,8.043037880349429,266.82234592500026,19.111103845214842,0.02641797804415226,0.0068301176044344904,6.404712417907715,0.03573119452238083,0.010441371879577636,8.062095782165528
9,19.161237297058104,0.0019304785744752736,0.00752846703492105,6.7034741916656495,0.009045359043753707,0.013036016907542945,7.997369733810425,277.0282697520015,17.23780195831299,0.03871016627192497,0.008559164854586125,5.833589417419433,0.0490238816177845,0.013057719666361808,7.103516068572998
