epoch,loss,target_primary_cl_mean_relative_error,target_primary_cl_ms_relative_error,target_primary_loss,target_total_cl_mean_relative_error,target_total_cl_ms_relative_error,target_total_loss,train_time,val_loss,val_target_primary_cl_mean_relative_error,val_target_primary_cl_ms_relative_error,val_target_primary_loss,val_target_total_cl_mean_relative_error,val_target_total_cl_ms_relative_error,val_target_total_loss
0,77.56236072540283,0.18488607563078405,0.13890279637277125,34.76531740188599,0.23047550386190416,0.14942143706977368,39.03677495193482,93.04616703600914,65.53981860107422,-0.15989450944900513,0.09884658691644668,28.186285869140626,-0.15693125252723694,0.12317042789459229,33.655562907714845
1,25.141273269653322,0.010516710094641894,0.01972509755194187,9.91605654144287,0.05970872206706554,0.03727779491990805,11.64463480758667,147.9921038330067,40.168089342041014,-0.1481292799282074,0.03823350170850754,19.233431013793947,-0.13835256093025208,0.05007054132699967,17.492195228271484
2,19.684559968793312,0.001954697752273207,0.009703027638690999,7.620082680276068,0.011193449508591455,0.016703099688465586,8.762161191099976,196.4274774170044,24.66285874267578,-0.06548907584428787,0.014308219804167747,12.090876764526367,-0.014610991779565811,0.017566544784903527,9.405916796264648
3,18.082255321502686,0.001566265567962546,0.007666745122522116,6.834057134628296,0.009172687669051811,0.01412504831701517,8.201227394104004,204.61874529899796,17.718112725219726,-0.002613638479337096,0.006895680034160614,6.584169502258301,0.026129056428670885,0.015082891364693641,8.198576738586425
4,17.371955867767333,0.001291519598918967,0.006836158128455281,6.511332656860351,0.008771429567132146,0.01314431482180953,8.019557697296143,212.75368009900558,15.485365436401366,-0.011014934985041618,0.006125482929646969,5.467790124511719,0.025804733327627182,0.01312270029515028,7.266610479888916
5,16.765263027085076,0.00117980717186871,0.006409201113470663,6.337419308494161,0.008520408256514189,0.012696555293654993,7.75639333468425,220.88785379299952,16.779036764526367,-0.006775650732070208,0.0055537669786810875,6.124134158630371,0.02249840281844139,0.013606949688196182,8.060154499206543
6,16.29034426879883,0.0012455115056363866,0.006091804820112884,6.102992154121399,0.008585079959011636,0.012273001022636891,7.656129852294922,228.97441426399746,15.271990924072266,-0.029363254672288893,0.006377265693843365,5.519243634185791,-0.00010763389520347118,0.012698353526890279,7.281983620605469
7,16.01264237976074,0.0013055356466793455,0.005846146975643933,5.973767406463623,0.008406364862807094,0.011903670236468315,7.620667243957519,237.071573498004,15.481367463378906,0.012038518416881562,0.006325023400485515,5.790175630798339,-0.007383377645760775,0.012637382245659828,7.325484213714599
8,15.648214431072724,0.0006249866896374535,0.005717335829246734,5.8723545662878465,0.008018701768962121,0.011838039408655994,7.455362053350655,245.1175615700049,14.953483936157227,0.03188364630937576,0.0060400110381841655,5.1364273277282715,0.05760145552396774,0.01494549955368042,7.538484750976562
9,15.414926105499267,0.0003665058729238808,0.005614058000035584,5.778702511787414,0.008283830717788078,0.01149491348862648,7.400637992858886,253.20928020900465,14.232391388549805,0.008813755097985267,0.005219748558700085,5.049073758850097,-0.012678892555236817,0.012247078543007373,6.984443862457275
10,15.278535583496094,0.0009354441608302296,0.005410246670246124,5.743778395652771,0.008570760979084298,0.011214567504823207,7.374036880493164,261.2810385420016,13.578521456604005,-0.0007223982809484005,0.004767668390721082,4.710134914855957,0.01806711086332798,0.0116613240981102,6.741520184020996
11,14.979062340104843,0.0004514290643635373,0.005286045285094267,5.621764148461083,0.008057867703740482,0.011378618188539514,7.2621872241069925,269.33922295700177,13.47426350616455,-9.705599701963365e-05,0.005427556970119476,4.732596457061768,0.025099708806276322,0.011398563828766346,6.681793519439697
