energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.01703361399652854,0.09565920359291467,0.09413043729978081,0.00022401778764700328,0,-0.01703361399652854,0.0091506832320307,0.0008828197414117878,0.008860539226247967,0.00079908473779882,5.0183969182257854e-08,4.525824312917084e-09,9566.794238946253,-0.002274766409490394,0.06250745483895381
primary,-0.0032656160799184116,0.06426163472861642,0.06417860585594469,0.0001528970733292871,0,-0.0032656160799184116,0.00412955769799412,0.0009384629841811006,0.004118893449612698,0.000921409737400038,2.3377515032661395e-08,5.229625444507535e-09,18156.16180800295,-0.00391293974905742,0.034457817829596886
secondary,0.010167815637090794,0.2744740326391086,0.2742856360044116,0.0006627328935851177,0,0.010167815637090794,0.07533599459317444,0.024984794802008336,0.07523261011834458,0.019309282720665528,4.3921488823970283e-07,1.1272936614594423e-07,2925.5530170187694,-0.0274139417653871,0.19298786753012004
