energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.009088636770477916,0.09667550329182592,0.09624733564303045,0.00022905799119399167,0,-0.009088636770477916,0.009346152936727845,0.0009577048030916614,0.00926354961838216,0.0008703542283749548,5.246756332982676e-08,4.929575322404406e-09,9419.790833553834,0.005955376288120408,0.06251866668495518
primary,0.0012171457009431499,0.06235454356900216,0.06234266324148548,0.0001485244025762997,0,0.0012171457009431499,0.0038880891036985887,0.0008553027964143316,0.0038866076600412645,0.0008401855595360319,2.2059498160646736e-08,4.768701506904935e-09,18502.359869271644,0.0034040658757632652,0.03439102188401167
secondary,0.009909405536260924,0.2773921138695324,0.27721505824706844,0.0006672863413582066,0,0.009909405536260924,0.07694638483700764,0.02512155633000659,0.07684818851892555,0.01920081019052171,4.45271061363221e-07,1.1125265666427302e-07,2847.5222390906256,-0.012461956276036495,0.1994646849095731
