energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.010066553713769725,0.09370866380374931,0.09316640042532451,0.00022172199930979214,0,-0.010066553713769725,0.008781313671884117,0.0008995926792708051,0.008679978168211906,0.0008224812094667863,4.9160644977931465e-08,4.658272861525617e-09,10328.134510021593,0.005422606260290677,0.05380641870114538
primary,-0.000395186778619813,0.05836416625115818,0.058362828320797096,0.00013903486358494909,0,-0.000395186778619813,0.003406375902192832,0.0007665567082909887,0.003406219729602836,0.0007549533115039487,1.93306932920854e-08,4.284447884467121e-09,19900.791895349314,0.0011805859437878164,0.031026487926705114
secondary,0.011481478168425627,0.2679785982439353,0.26773252468807823,0.0006431828310843642,0,0.011481478168425627,0.07181252911678446,0.022904989030093977,0.07168070477585242,0.017747949691944962,4.1368415420169767e-07,1.0242708383079262e-07,2996.554154193507,-0.010682581086040158,0.18975783705527904
