energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.008439140878001952,0.09432271371670145,0.09394442625363175,0.00022347806346460682,0,-0.008439140878001952,0.008896774322882819,0.0008844744031533399,0.008825555224124055,0.0008053218098010329,4.994244484989084e-08,4.5571909133223074e-09,9867.822231349175,0.005628464279944865,0.05764816564540204
primary,-0.0003200952125420173,0.058558762877215106,0.058557888014893554,0.00013945691172846656,0,-0.0003200952125420173,0.0034291287097099063,0.0007085624489927007,0.003429026248764814,0.000696803525284944,1.944823022884131e-08,3.9520243943572385e-09,19110.788955584354,0.0011922615296901544,0.03251731095199156
secondary,0.014561772138526812,0.26965952881211697,0.2692660696622554,0.0006468883123094939,0,0.014561772138526812,0.07271626147917294,0.023146683427885055,0.07250421627135857,0.017859028744377604,4.184644886026253e-07,1.0307496190959826e-07,2932.718745397979,-0.008053008036261224,0.19672304408154334
