energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.018077246816340913,0.09838546398692082,0.09671045792189584,0.00023015916252884007,0,-0.018077246816340913,0.009679699523921692,0.000921679930053937,0.009352912671462784,0.0008279833471805272,5.297324009597702e-08,4.68955096517596e-09,9263.500365969832,-0.003410440557122247,0.062387173839130214
primary,-0.011545994446186852,0.06871537922236808,0.06773841859626246,0.0001613927518641194,0,-0.011545994446186852,0.004721803341673854,0.0009427705163679208,0.004588493353922476,0.0009204750895704783,2.6047620354273212e-08,5.225285040066886e-09,16881.09609743546,-0.01611992241056668,0.03591218772161815
secondary,0.0395118891095407,0.29361334137872924,0.2909426143667812,0.0007120184446531895,0,0.0395118891095407,0.08620879423558221,0.0306459968150588,0.08464760485457758,0.023214040611505848,5.069702655263471e-07,1.3903321131144906e-07,2638.364250425411,-0.018760746113954698,0.21145392265572444
