energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.009093193629174498,0.0937415333938748,0.09329945826561527,0.0002219451613672685,0,-0.009093193629174498,0.008787475083034945,0.0008861977909617578,0.008704788912657285,0.0008089780726267978,4.925965465434286e-08,4.577937601977654e-09,10254.864805410694,0.0059981689577694765,0.05344660547060664
primary,-9.026760920410979e-05,0.05828247250902277,0.05828240260596438,0.00013880411494387155,0,-9.026760920410979e-05,0.003396846601764995,0.0007644104855622082,0.0033968384535237235,0.0007528719187262858,1.9266582325351508e-08,4.270226271001565e-09,19849.674749918257,0.0008490063724611197,0.031198869213133983
secondary,0.013261446159809811,0.27049519454522636,0.2701699174923261,0.0006483392199049964,0,0.013261446159809811,0.07316765027205985,0.023487728458144397,0.07299178431781031,0.018134223411809938,4.203437440670193e-07,1.0443103201147581e-07,2952.0912025710318,-0.00929567803762858,0.1946422640586388
