energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.009535122329030131,0.09466768140438338,0.09418625878891392,0.0002240581041023725,0,-0.009535122329030131,0.008961969902481834,0.0009078325916860643,0.008871051344652265,0.000827515687153074,5.020203401394959e-08,4.68298165116346e-09,10086.26032798251,0.0063163009290724825,0.05511927680884477
primary,-0.0004030902624246297,0.058448333287526445,0.05844694331040855,0.00013919611136104846,0,-0.0004030902624246297,0.003416207664089772,0.000701448559319962,0.0034160451823301106,0.0006897780845157763,1.9375557418037407e-08,3.912370641749834e-09,19565.917368145037,0.0012239201960648164,0.031755615036614344
secondary,0.017159160337770606,0.27052514214643575,0.2699803988252702,0.000648967426900045,0,0.017159160337770606,0.07318385253334928,0.023373647350715957,0.07288941574985196,0.018017771079092942,4.211587211772652e-07,1.041075902182809e-07,2929.4628668403184,-0.010208179288482095,0.19541794972241533
