energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.028725298113932204,0.10275930379916352,0.09866271720135478,0.00023470936080561547,0,-0.028725298113932204,0.010559474517288784,0.0008824638586446657,0.009734331765554508,0.0007709613565633945,5.5088484049780575e-08,4.363020843847356e-09,8337.236768970288,-0.0055134084377501235,0.07716756417750521
primary,0.011204442433701903,0.08235573596715914,0.08158999764948084,0.00019437541007663367,0,0.011204442433701903,0.00678246724669243,0.00133362514778047,0.00665692771644229,0.0012876232858280144,3.77818000424595e-08,7.30798464207576e-09,13980.059184929409,-0.003377651386793343,0.04123622425771914
secondary,-0.02993264128060955,0.28925710156961326,0.28770420190608953,0.00070640316589321,0,-0.02993264128060955,0.08366967080845357,0.027587804301985926,0.08277370779441992,0.02058719048879094,4.9900543278395e-07,1.2411090639046244e-07,2675.866358207958,-0.08488564742731657,0.21112628205546363
