energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.008408357541062058,0.09512270197454356,0.09475034540517253,0.00022539711772981728,0,-0.008408357541062058,0.009048328430937834,0.0009078124883879742,0.008977627954399499,0.0008259402409938562,5.080386068090911e-08,4.673946519876149e-09,9688.909121613235,0.005681868721736877,0.05918326785357879
primary,0.00029394410022085286,0.05969077579105684,0.059690052030503066,0.00014215593941257704,0,0.00029394410022085286,0.0035629887145382177,0.0007601747378383905,0.003562902311404163,0.0007474798492584638,2.0208311110272273e-08,4.239606933405187e-09,18596.15261366613,0.002252889017608782,0.03368682616561013
secondary,0.013296989831863884,0.2707022573906921,0.27037548375884196,0.0006489689727830703,0,0.013296989831863884,0.07327971215641652,0.0232407969394297,0.07310290221782782,0.01787088072570244,4.2116072763511355e-07,1.0295778828985606e-07,2918.8289179419503,-0.009740200876694746,0.1972364862105946
