energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.009836524274182776,0.09489940477594828,0.09438823982378679,0.0002245355185417912,0,-0.009836524274182776,0.009005897026829277,0.0009042449600009112,0.00890913981703269,0.0008231387787430588,5.041619908683106e-08,4.658084775576349e-09,9786.348189784501,0.0036619533151603326,0.05825021759157412
primary,0.0006288308403916605,0.05900006420344796,0.05899671302526229,0.00014050463804740816,0,0.0006288308403916605,0.003481007576010981,0.0007394735483136939,0.003480612147785153,0.000727356134569448,1.974155331283318e-08,4.125463940920936e-09,19093.015878404785,0.0026158813920784028,0.03283409554293238
secondary,0.008460850857901608,0.2673855082214598,0.2672516117998331,0.0006411895831723458,0,0.008460850857901608,0.07149501000684834,0.02227473380245864,0.07142342400960869,0.017163197346579295,4.1112408156872664e-07,9.879397191803544e-08,2950.4645333851718,-0.012396450968069022,0.19658185851541327
