energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.013093483023467363,0.09636391567364887,0.09547023068094201,0.00022720812033605965,0,-0.013093483023467363,0.00928600424395811,0.0008553883812908124,0.009114564946272281,0.0007691585064720043,5.162352994664536e-08,4.35639851453513e-09,9169.743953462585,-0.00024590679959251123,0.06576135974808066
primary,0.0033071110992373256,0.06509815622513031,0.06501409816408109,0.00015490013757945407,0,0.0033071110992373256,0.004237769943911471,0.0008962055775804774,0.004226832960088772,0.000878246883482958,2.39940526221338e-08,4.985458885290923e-09,17585.385102882454,0.0016245182175906917,0.03457802750694655
secondary,0.008319389409975593,0.2763206624563769,0.27619539507416874,0.0006697999890390742,0,0.008319389409975593,0.07635310850033096,0.02551858860874373,0.07628389626017615,0.01968879143108042,4.486320253167439e-07,1.1579144234634253e-07,2873.426207960356,-0.032276196895815255,0.19680681422526022
