energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.009536206672671032,0.09441133785471713,0.09392849129957134,0.00022353686009902372,0,-0.009536206672671032,0.008913500715517544,0.0008955422147699694,0.00882256147781365,0.0008160917197644376,4.996872782293051e-08,4.622134413685272e-09,9810.947348339212,0.00460102714548316,0.058138968769343685
primary,8.422700706672048e-05,0.05875638199212078,0.05875632162257347,0.00013997514940899673,0,8.422700706672048e-05,0.003452312424804015,0.0007546105367444508,0.0034523053306152953,0.0007426920756659946,1.959304245207096e-08,4.215037771513401e-09,19072.655160594408,0.0022237483586234953,0.03296779526824693
secondary,0.013931036697100063,0.272357465859211,0.2720009474722383,0.0006536848502490033,0,0.013931036697100063,0.07417858920925129,0.023994953769379053,0.07398451542579534,0.018492490672304202,4.2730388344506195e-07,1.0680495821821791e-07,2948.0535336637063,-0.010711236614495209,0.19272349233487215
