epoch,loss,target_primary_cl_mean_relative_error,target_primary_cl_ms_relative_error,target_primary_loss,target_total_cl_mean_relative_error,target_total_cl_ms_relative_error,target_total_loss,train_time,val_loss,val_target_primary_cl_mean_relative_error,val_target_primary_cl_ms_relative_error,val_target_primary_loss,val_target_total_cl_mean_relative_error,val_target_total_cl_ms_relative_error,val_target_total_loss
0,64.07818258666993,0.11739068550616502,0.10777126600593329,30.67316923522949,0.14810730144288392,0.09472527205944062,28.458642906188963,93.98037088300043,47.52545865844726,-0.16172966380119325,0.0778457571196556,22.32267878479004,-0.21188881962299347,0.10333471492767334,20.279604071655275
1,25.57385324859619,0.006237130039837211,0.020882332365959884,10.84094889831543,0.01313185819669161,0.01976896608620882,9.928216949462891,150.9949607460003,27.346628900146484,0.036336853234767916,0.01778854052603245,13.398036709289551,0.025396604976058005,0.01642968535065651,9.306798083801269
2,21.442991304348844,0.002866917555405766,0.01217081320301011,8.47656205935407,0.008784332785687087,0.01501800643261029,8.54819838221722,200.9928177949987,20.285051891479494,0.021500094413161277,0.00875355645954609,7.071234978027344,0.009735744680762291,0.015481885587573052,9.031851956176757
3,19.755427688598633,0.0024305976631585507,0.008946166645735502,7.600356016159058,0.00908667265996337,0.01343711631372571,8.213874530792236,210.96703008699842,19.219759528808595,-0.0012914620020240545,0.011172235324084758,7.454509690093994,-0.005284766883552074,0.015040946280658244,8.064765846862793
4,18.05836553955078,0.0011583556147525087,0.007861579580232501,6.777151437759399,0.007861839654739015,0.012739047698676587,7.793883489608764,220.85431715100276,17.29114811340332,-0.020837130745649336,0.005736993106305599,6.355261371154785,-1.1627771332859993e-06,0.011385206892788411,7.657435180664063
5,17.428644419884524,0.0021771775098271173,0.007157667641166245,6.660154457202764,0.008757644021575018,0.012230295697473645,7.67624013280434,230.5476157000012,22.885275686035158,0.01616789811313152,0.009513757701814174,8.600999484558105,0.01446988834887743,0.018571312094926833,11.372426190795899
6,16.766700046539306,0.0016520310207852162,0.006642419550567866,6.353474765777588,0.007982491185306572,0.012127609189599752,7.657067142486572,240.3632953740016,16.729628643188477,-0.021400737410783768,0.006163990694880486,6.500520244140625,0.03995390977025032,0.014765531372725963,7.621733758544922
7,16.05657755279541,0.0009532141843228601,0.0065365623906254765,6.181057501792908,0.008064007004490122,0.011773275397717952,7.393421348571778,250.20317202400474,14.07152348022461,0.023109745351076127,0.005801698352098465,4.986645156860352,-0.019482804176211357,0.012725639733076095,6.72073600189209
8,15.855236327444471,0.0019233603238620364,0.006238748602639629,6.20121092762917,0.007851527479096015,0.011513354210686543,7.398203902572287,260.05088237400196,15.465004707336426,-0.028286060415506364,0.006674090746492147,6.424788269042969,0.0005894688142836094,0.010824901960790157,6.880360343322754
9,15.424710586547851,0.0016378808801528067,0.00593085737619549,5.9504467420578,0.008763310999725946,0.01150942687317729,7.4044961185455325,269.8346522790016,15.440958092956542,0.05152411103963852,0.008201185863316059,6.324076958618164,0.03128391368746757,0.014669649214148522,7.131587592163086
10,14.984760063171386,0.0009896867772913537,0.005919082847423852,5.87534049987793,0.009004634658922442,0.011415458366274833,7.196623815536499,279.5537355510023,14.639192778930664,0.01954967297554016,0.00656761457413435,5.312928137817383,-0.02292801468193531,0.012541398268043995,7.481910113372803
11,15.08158792623185,0.0019879496602278716,0.00577959897982231,5.973918005108446,0.008162780038905616,0.011277796219319316,7.322770641194809,289.3824174609981,15.057223285522461,0.03683785844564438,0.007320026819705963,5.743902604370117,0.06056424680709839,0.014140626963377,7.586300524902343
12,14.766164783477784,0.0010324313262244685,0.005641688785515726,5.803834533691406,0.008467768464935943,0.011149946803227067,7.29276700592041,299.0520122220041,13.83644072265625,0.02604138432562351,0.005293360677808523,5.248956722412109,-0.0019113962617702783,0.011655176950097084,6.974363899230957
13,14.324251800537109,0.0005842840012628585,0.005536427807994187,5.701011472702026,0.008280841486528516,0.011007328376173972,7.053736902236938,309.0884831959993,14.052415691833495,0.033790004791021344,0.005445866670906544,5.6035318371582035,0.039702502980232236,0.011049001334607601,6.9269103700256345
14,14.48985476359771,0.002015555216767277,0.005567988439322717,5.792061229360197,0.00870116326049119,0.010938295450302183,7.21404863471212,318.97781476800446,13.324173552246094,-0.01651907729744911,0.004876711120903492,5.272201349182129,0.017725668207406998,0.01225291231840849,6.607703003234863
15,14.281525592803956,0.0007448318663518876,0.005464979987591505,5.652639926910401,0.008075135206221603,0.011115263190120458,7.216641298294068,328.89754879999964,14.17770894958496,-0.0096857474604249,0.006898557352125645,4.931258636322021,0.007520566012859345,0.013516497783362865,7.866124935302734
16,13.834205959320068,0.0009016824709251523,0.005380972660146654,5.52722017288208,0.008740776649559847,0.010839945990592242,6.963682014465332,339.0828352660028,13.1291101272583,0.008919286789745092,0.005190819202959537,5.12939826538086,0.016089303083419798,0.010423320035934448,6.688840636291504
17,14.18635422189555,0.0013372945764151803,0.0053832097250699875,5.718760052716521,0.008841299688191457,0.010820381258377395,7.182114666432594,349.0612985150001,12.770524389038085,0.017037556077837943,0.005158725338280201,4.8560099816894535,-0.0006533269260078668,0.011213220219016076,6.6591452824401856
18,13.812906112670898,0.0011609727356117218,0.005293148028664291,5.531965505599976,0.008136714018764906,0.010785797851160168,7.0526470241546635,358.8960562709981,15.843111478881836,-0.013185566774606704,0.010710050252079963,7.664465124206543,0.028270615488290785,0.015884964182674884,6.973072713012695
19,13.528880382537842,0.0010479671898065135,0.00515602832660079,5.439147765159607,0.008499008767888882,0.010677576484158634,6.907742961883545,368.7682605950031,12.383692266540526,0.019205102170109747,0.007672638590633869,4.761552897949219,-0.0018101544396579266,0.011299836490750313,6.464382438659668
20,13.870819649485384,0.0011519763194256156,0.00508101990552667,5.613542487200094,0.00805509853952861,0.010612738706463827,7.123597945001926,378.5235286919997,12.622539928894042,-0.009705541928708553,0.005226566817164421,5.075323465270996,-0.002746165860425681,0.01064457695186138,6.436251728363037
21,13.517098693847656,0.0010383922720793636,0.005168998046778142,5.4600239839553835,0.007970742042874917,0.010602930936962365,6.96259250831604,388.5116349060045,12.638026665344238,-0.0013198667158931493,0.004736460326611996,4.82023432220459,0.012957655050754547,0.009596492085158824,6.739517594299317
22,13.297446758270263,0.0012239056109101512,0.004926738851703703,5.351065273284912,0.007815598963410594,0.010476845622062683,6.888426193237304,398.3110080030019,12.454485135803223,-0.006226224088221788,0.007136102760434151,4.623923898849488,0.025591344064474105,0.011700189391970634,6.788963892211914
23,13.692893914047964,0.0021502919073017736,0.005024461429897763,5.610573083512805,0.008670101629770156,0.010571853625275558,7.052826123932657,408.0106298850005,12.071405188598632,-0.01055582914620638,0.004332484193444252,4.489370484008789,-0.01153698905646801,0.009992208217680454,6.564561159515381
24,13.229163696289062,0.0008783384037669748,0.0050499351210892204,5.316337266921997,0.007945109148393385,0.010509448379278183,6.908593650817871,417.9282635710042,12.779004381103515,0.03769475515365601,0.00579037179350853,5.280626843185424,0.016806855135560034,0.009289657232165337,6.505957021179199
25,13.316607589770532,0.0010940625207895116,0.005001179880628954,5.4363308670412085,0.008554106107334458,0.010520961915155903,6.897928724789754,427.6264226389976,13.359012875061035,-0.002516056407019496,0.004769521950781346,5.046819029693603,0.02140668718278408,0.015034054862558842,7.339994476623535
26,13.426779182434082,0.0018558613563072867,0.004853489829227328,5.45608273601532,0.008480086364084856,0.010534935232251883,7.007036655426026,437.3890278250037,12.878733695068359,-0.006253585476875305,0.004523347635567188,5.163294074707031,-0.008929305224865675,0.01075233648121357,6.763250294494629
27,13.05052619934082,0.0006276216804981232,0.004972137058153749,5.270343989372253,0.008076383198378608,0.010494614202529192,6.837004627227783,447.14382973100146,13.223874689636231,0.030753607238531114,0.007889035739600658,5.386767459716797,0.012430718599557876,0.012830968272686004,6.907535049591065
28,13.15453272088333,0.001185976905408875,0.004813342435258728,5.382362011930068,0.008297508056936322,0.010312069410126887,6.8523769451716845,456.9189813490011,13.306846249389649,0.019536231064796447,0.004907897142469883,5.5791507354736325,0.010435463437438012,0.011215173645019531,6.815542373199463
29,12.39711328125,0.0011439374746987597,0.004268734354525804,4.877795986175537,0.008421943433699198,0.009808534493669868,6.624582084655762,466.83177348200115,11.62143248840332,0.02816979248523712,0.006440483330488205,4.48339051651001,0.01956913955748081,0.010914625448286534,6.258237409515381
30,12.07521245956421,0.0008320174670079723,0.004319569559767842,4.7837728385925296,0.008102163745672441,0.009746998962014914,6.423193155288696,476.7659690369983,11.384547194824219,0.01327482244670391,0.004882396681904793,4.448041006317139,0.0022584788827598097,0.009895339930355549,6.078933321685791
31,12.165546399439506,0.000993916967889768,0.0041866412659201544,4.839291324048371,0.0079524489152995,0.00963627252339689,6.477831474313327,486.5967986120013,11.34926396850586,-0.0038623977310210467,0.004058233609944582,4.453893646316528,0.014135326268672943,0.00907506743580103,6.054900932922363
32,12.095486862182618,0.001108402261394076,0.004163177972659468,4.741309875488281,0.008727976505411789,0.009713677080348135,6.5206467742919925,496.3455349249998,11.963248114624024,-0.002711844414919615,0.004085619276762009,4.5775681603240965,0.006913566692471504,0.008636680963635445,6.559157147521972
33,11.882216690063476,0.0008283036495558918,0.004249221865087747,4.700953588485718,0.008912314208690077,0.009669174058362841,6.36164661026001,506.31297965300473,12.720992465515137,-0.037222387067079546,0.005695983804315329,5.306315705871582,-0.0010559502856433392,0.009231598657369614,6.602230833892822
34,12.150117274028482,0.0009492921589682015,0.0041919671132821,4.864737946156108,0.008383914930614618,0.009604210050604672,6.477756645178987,516.0992160559981,12.789799122009278,0.03181547774851322,0.006293133791387081,5.256949036712647,0.03074657432436943,0.011205223552584648,6.729380163269043
35,11.979356143951415,0.0010765778998611496,0.0041765308259055015,4.694367428779602,0.008602121330972295,0.009654432965442538,6.487251831054688,525.9664501420048,11.385212096862793,0.015153439229130745,0.0038876061293482782,4.258961977462769,0.02532223742902279,0.011263104129433632,6.33358936920166
36,11.808791980743408,0.0005777574403909966,0.0041478916630148886,4.7001747217178345,0.00876717773778364,0.009572365906089545,6.32033244895935,535.8347546849982,12.289481807861328,0.014777245102524757,0.006561662409305572,4.657073447265625,0.03654257332801819,0.01298641429424286,6.848756034240723
37,11.64038083684979,0.001528210193184306,0.003973927241856619,4.5725124105090105,0.00889501380761738,0.009414503276170414,6.289665125142613,545.5829714569991,10.78486221069336,-0.003765209196805954,0.0036224735300242903,4.026268621063233,0.020130431934595107,0.008833300394415855,5.98554709777832
38,11.444224308013917,0.00045738488540519027,0.003977192533202469,4.41002144241333,0.00874868202675134,0.00939708353765309,6.2656049671173095,555.4807109640024,10.81974657470703,-0.0031465645740926264,0.00350820190936327,3.9121996771240233,0.015608781541585922,0.010091691008508206,6.143121610107422
39,11.237408573150635,0.0006401332931127399,0.0038658931003883483,4.376559018135071,0.009142641446786,0.009246611587703228,6.100237768173217,565.2011802280031,11.230242796020509,0.0009404259271174669,0.005692138909399509,4.37452018081665,0.00697076521486044,0.011082883929610252,6.099223283233642
40,11.55821034252268,0.001432437599483786,0.004005590725582267,4.545467978721476,0.008523758415651589,0.00930882106058641,6.259533049901623,575.048844474004,11.140723935546875,-0.0009863969098776579,0.0038482818284630775,4.35206110961914,0.020862555612921715,0.010836668348610402,6.038621821594238
41,11.25263862991333,0.000649462491972372,0.003983825801871717,4.342066980361938,0.008691116797737777,0.009339457392692567,6.163520528793335,584.8788836000022,10.637659947509766,0.003439861791655421,0.0036780300518870356,3.929674246902466,0.010395070002675056,0.00876469987243414,5.96412265701294
42,11.20905149459839,0.000829241361701861,0.003891132448799908,4.357836085319519,0.0089393458008999,0.009279584091156722,6.11017449760437,594.6506004699986,11.061571934814452,-0.011952726834416389,0.004292504969388247,4.26438041885376,-0.009553441951572894,0.010723840638101102,6.058976051177979
43,11.466186523504728,0.0012733064240482597,0.0039244201315173045,4.488154178066447,0.009131019500708822,0.00930378632593169,6.242224481682371,604.3701346899979,11.178193208312988,0.01135781174570322,0.0038731055745482444,4.192867319488525,0.007382279980778694,0.010129076856970787,6.251867341003418
44,11.191985607147217,0.00028248830381198784,0.004011735539883375,4.3254110708236695,0.00865671695396304,0.009286136470735073,6.135467504501343,614.2150226520025,10.688275172424316,-0.002892980657219887,0.0035058186730742456,3.9318426976013185,-0.008704451181590557,0.009243723240196705,6.027791948242188
45,11.147961647033691,0.0004999520814453717,0.003899310642853379,4.326448498725891,0.008795467359945177,0.009295367190614343,6.095235059738159,623.9829220949978,11.3230434765625,-0.002442806532308459,0.00661072139531374,4.111140353622437,0.0170910080319643,0.011742826029658317,6.488221658020019
46,11.437997212725703,0.0016267236557011263,0.003909810152038884,4.480532662323325,0.008724631396459698,0.009355534298412769,6.235882850741331,633.6251269700006,10.76698612640381,-0.0036648789990693332,0.003758595244586468,4.045129065551758,0.008035095792710781,0.01051517121553421,6.0019292567443845
47,10.826864669799805,0.0004506732751615345,0.0038397050695493816,4.107021094322205,0.009126665384508669,0.009144424423575402,6.002109140396118,643.6703815569999,10.564250199890136,0.004423484278619289,0.003451333858668804,3.8766091192626955,0.016055482074022295,0.009061808044612407,5.9721402824401855
48,10.9846869556082,0.00032782162826201804,0.0038173675186462365,4.2635265999109695,0.008805542504797634,0.009179036086219292,6.007473017512518,653.6167060590014,10.881691470336914,-0.004715835310518742,0.004352124685198069,4.18428533454895,0.014773487941026687,0.009770033541321754,5.985521656341553
49,11.01191471862793,0.0011807321157539263,0.0037871255334466698,4.221897414207459,0.00915723077050643,0.009218629857525229,6.079846675872803,663.6456280089988,10.46630423034668,-0.0013991607856750489,0.0034009246531128885,3.8532019309234617,0.008878348835110664,0.010182453235983848,5.904434813690186
50,10.774063987731934,0.0003310416409512982,0.0038781328545883296,4.084856724739074,0.008746909023728221,0.009144964747130871,5.98222374534607,673.6638688599996,10.46577682647705,0.0025781315247341992,0.003450014216825366,3.881607417831421,0.012420999570488929,0.00946448857009411,5.878668770141601
51,10.948738546508643,0.0008646999373652402,0.003817190995895436,4.250335872209025,0.009096259956674346,0.00906314547527346,5.994433734151793,683.379980153004,10.603119650268555,-0.01333540996581316,0.0035885300022363664,3.989229466629028,0.006286422409117222,0.009285505065619945,5.911361893615723
52,10.903868194580077,0.0007290372237330302,0.0037973435493186118,4.1584336938858035,0.009350907843094319,0.009197098819538951,6.044355777740479,693.1410924060037,10.761085440368653,0.010817312931418419,0.0036931969755887987,4.17764661453247,0.012504920851588249,0.008845962765812874,5.883564924011231
53,10.748806003570557,0.00045750453032087534,0.00385551633965224,4.124601795196533,0.008592258736258372,0.009102715646848083,5.925619659423828,703.0031671230026,10.487863382873535,0.004054489900916815,0.0036809320828318595,3.90323145401001,0.0064875329826772216,0.008870237439274788,5.887397711181641
54,10.917162580563055,0.00040654116637256954,0.0037940855262368132,4.211772397816414,0.00884269466307583,0.009081517022623433,6.009654335712318,712.6863189299984,10.558727951965333,-0.003504904572293162,0.0033667278271913527,3.857829235458374,0.007175470943450927,0.0095385171097517,6.006450242614746
55,10.802381568908691,0.0003676892335060984,0.0038091947520151733,4.09687585067749,0.009005156752944459,0.009162986729294062,6.012261138916015,722.3608371299997,10.51306463104248,0.006185904681384563,0.0037717462134361267,3.9112595598602296,0.01863105069279671,0.010102204419970512,5.9097904225158695
56,10.599327201843261,0.0005750238895998336,0.003736378854140639,4.028758638381958,0.00899805753014516,0.009072529716417194,5.879448900222778,732.2687849840004,10.32997724609375,0.0014325351928174495,0.003444664283245802,3.8323910222625734,0.011154690050780774,0.008906141645610332,5.807258523864746
57,10.797997956286379,0.0003732643276514294,0.0037677597782135646,4.159681368475279,0.008510713624544336,0.00898987777432245,5.9488508995121405,742.1348939899981,10.567423954467774,0.007644437442719937,0.0033353760880231857,3.8869808679962157,0.01480281543791294,0.008574294592440128,5.99177669845581
58,10.647142921447754,0.000999298011767678,0.0037437220620922746,3.996880422592163,0.008858152801170945,0.00909238856844604,5.962308067321778,751.849955108999,10.35023984954834,0.002187447854503989,0.00341731799736619,3.8000107027435304,0.006698254869580269,0.009206796168386936,5.863049590301514
59,10.570235721588135,0.0006107055493630469,0.0036814862443134188,4.051464051246643,0.00939201726007741,0.009061168478801847,5.832343606948853,761.7458809710006,10.330946421813964,-0.0013199837373942137,0.0032979332607239484,3.8300881871032715,0.009991977768540383,0.008942194090783596,5.815204507446289
60,10.756146255921722,0.0005861579995214887,0.003797380880821102,4.127446823843269,0.008496987706835928,0.00896216076621165,5.943754234203262,771.4556355719978,10.245204480895996,0.003695025669038296,0.003330020675510168,3.7966851037597658,0.010659041513204575,0.008787920591235161,5.764234203948974
61,10.608220405578614,0.0004760090174386278,0.00376244792714715,3.995470622062683,0.009258005044539459,0.009070111555978656,5.929094083786011,781.3324769550018,10.35068452331543,0.0035284851732850075,0.0035040070286393166,3.8588621363830566,0.011617562142014504,0.008936161242425442,5.808949924468994
62,10.49976474761963,-1.456516794860363e-05,0.003659369358792901,3.991482498168945,0.00912438399810344,0.009030414469540119,5.826106973648072,791.0899920180018,10.291728084716796,-0.00020931402653455734,0.0037002078491449354,3.794287374420166,0.002313228801637888,0.00928687637835741,5.815984123840332
63,10.771790161482997,0.0010335791572095602,0.00384211451412771,4.1419684414457585,0.008489481912882969,0.008978376070995947,5.949060395117633,800.8156576649999,10.254975371704102,-0.00047366665951907637,0.0033865804556012153,3.7840715993499754,0.010654884780943393,0.008805195398628712,5.790778495178222
64,10.550932434082032,0.0002547770774690434,0.0037807210623286664,3.9774346141815187,0.009107431903015823,0.009048532554879784,5.893938655853272,810.4649574110008,10.201695388183595,0.001403591204881668,0.0032618587586283683,3.747476721343994,0.011251140493750571,0.008731498268544673,5.775419055023193
65,10.506803955078125,0.00014631455845665186,0.0036544360602274537,3.999306901931763,0.009184702692786232,0.009008923297747969,5.829321914672851,820.2579173220001,10.369957862548828,0.0006909927479550243,0.003420014154016972,3.8837596782684325,0.005433941360935569,0.008666467093527317,5.808711768951416
66,10.731798438011927,0.0016671379929511089,0.0037347825884813165,4.103661958697364,0.009079493727992952,0.009027826877976087,5.951329056685289,830.0451275110026,10.17195083770752,-0.0011109575701132416,0.0032579155418276788,3.741176627655029,0.009472337355613708,0.008697586713433266,5.75451614364624
67,10.475337577819824,-0.0001592276386800222,0.0037333885515108706,3.9537929515838623,0.008757229943410494,0.009014406843110919,5.845867532730103,839.7670126230005,10.273128430786134,-0.007293440687358379,0.0033494286668300627,3.8121327935791016,0.0075446509969234465,0.008869848794937133,5.78596589630127
68,10.51673828125,0.00034038781264098363,0.003683840320445597,4.000837084770203,0.008771637323661707,0.009031214917078614,5.841502960205078,849.3895791320028,10.316517839660644,0.003316626499593258,0.0033159595541656017,3.8206153324890137,0.01606728150963783,0.00870341117233038,5.8222088174438476
69,10.722220936351366,0.0011097185549934355,0.0037221222236981945,4.109699546315759,0.009081280306697687,0.009003423805633584,5.939474722861769,859.1011691320018,10.31547679107666,-5.60410344414413e-05,0.0038135832434892654,3.8330117597198488,0.004942135564088821,0.01016539411842823,5.8099243788146975
70,10.385051643371582,0.0003212969150627032,0.0037187120108865203,3.8868709144592284,0.008942491810186765,0.008988096548244357,5.826253662109375,868.797177530003,10.239451934814452,0.004184940940588713,0.0034869072955846787,3.7602335038757326,0.01279585588335991,0.008591848311722279,5.807936551361084
71,10.554190656398669,-5.27304361837958e-05,0.0036990338342149614,4.020376882057815,0.008710495635181588,0.008993205943559297,5.86311483244427,878.5705300280024,10.277118949279785,0.007991698997020721,0.003644560506939888,3.811575791320801,0.01771445392012596,0.0095698279479146,5.795473505706787
72,10.620637794494629,0.001872132997144945,0.0036575748678296803,4.055544438362122,0.009633944185450672,0.009014985473826528,5.895370042800903,888.2450772329976,10.178879803771972,-0.0007411619892157614,0.00336191974401474,3.74614708114624,0.007273955901861191,0.008878837677538396,5.7632876879882815
73,10.308968376159667,0.00039702119876164945,0.003742531942203641,3.8418107414245606,0.008730934524675832,0.008994357027113438,5.798081684112549,897.9885625040042,10.229831156311036,0.0016163138829171657,0.00332908851146698,3.7715419187164305,0.011715855750441552,0.008874187515079976,5.789551818389892
74,10.524949904086977,0.00010007624027459103,0.0036489012060311973,4.04312476721108,0.008987791651478795,0.00895311715905114,5.813411567186884,907.5840056300003,10.169851394653321,0.0008330583253130316,0.0032593909806013107,3.746029634552002,0.01380840295791626,0.008672700682878494,5.755771910858154
75,10.488068954467774,0.0010248549784882925,0.0036862005265429617,3.9517630243301394,0.00939070982078556,0.009038876118138433,5.868538953781128,917.3182981830032,10.1264271875,0.001996333601921797,0.0032722398009896276,3.7218568084716797,0.009445211215019227,0.008695664406716824,5.737068895568847
76,10.342850536346436,0.00013238786556757986,0.003756783573888242,3.908478392601013,0.008468689813278616,0.008965654214844108,5.767239320755005,927.1491051240009,10.124407645568848,0.002158207929134369,0.0032464612984657287,3.724538584213257,0.007410351645052433,0.008631915325075387,5.7330408847045895
77,10.520696676366477,0.0003940320457662379,0.00368913414458486,4.021808801613928,0.009071871123133757,0.008935991024585779,5.832392492059423,936.9439798230014,10.163157802429199,-0.0026973437365144493,0.0034693375423550605,3.755741708755493,0.010305229477286338,0.008675069299787282,5.741257397613525
78,10.395911415100098,0.000530591937364079,0.0036679962198249995,3.8882104959487913,0.00918572172592394,0.00900412311963737,5.84178461265564,946.6787754190009,10.107932404174806,-0.00030231948762899264,0.0032683196140825747,3.713345814819336,0.010974234312772752,0.008709474609494209,5.728945751037598
79,10.306140655517579,0.0003463667386677116,0.003688056140206754,3.891773385047913,0.008558418337954208,0.008988205991685391,5.749096256256103,956.5952200840038,10.128208605651855,-0.000756832462195307,0.003259083179831505,3.7179626470184326,0.009180669336616994,0.008744515826702118,5.745256472167969
80,10.552501390520579,0.00017005531159082423,0.0037260640113838672,4.041526724383588,0.008522826680941266,0.008899552379255897,5.846292856777048,966.2665963030013,10.198211675415038,0.0051815525543689725,0.003275413481891155,3.7610764818573,0.01287822991490364,0.008595507200062275,5.772773229675293
81,10.362437870025635,0.0007984632445732132,0.0036995493173599243,3.868762096405029,0.009034109946689569,0.00900587933883071,5.829572671890259,975.8863193220022,10.182373366699219,-0.0021317069013789295,0.003305471216589212,3.7321916664123536,0.003647494798749685,0.008944339267909527,5.7863348114013675
82,10.296896186828613,0.00060110239230562,0.003633806413039565,3.9079465103149413,0.009262873401632532,0.008962502447888255,5.725447732925415,985.5699760520001,10.150130029907226,-0.00031308112874161453,0.003238071464598179,3.738962042541504,0.010329638899564743,0.008608913962841034,5.747966625671387
83,10.559910534718984,-0.00028715192413542593,0.0037147632205204338,4.037390606002437,0.008018482326833203,0.008916833703522196,5.859675793473701,995.2633547410005,10.210917460021973,0.00413885590672493,0.0032808453249931336,3.780751855392456,0.013313714327812195,0.008658160137832164,5.767602182769775
84,10.35410778427124,0.0010746518681989982,0.0036790391728281973,3.8695584774017333,0.009785264208912849,0.008947447292506695,5.822108610153198,1004.9850466920034,10.08891360809326,0.003488856648504734,0.003246377675831318,3.7110616841125488,0.009498836946487427,0.008583331454396248,5.715591913146973
