energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.010675911320895229,0.09661820673823117,0.09602657335748245,0.00022853196154706023,0,-0.010675911320895229,0.009335077873311578,0.0009680542045064482,0.009221102790779959,0.0008809105256056568,5.222685744854702e-08,4.98933690357873e-09,9545.550718536933,0.003761759184769103,0.060839852526148534
primary,0.000160666691422977,0.06183803981173448,0.06183783109045729,0.0001473215157481646,0,0.000160666691422977,0.0038239431677576587,0.0008705615658823569,0.003823917353971926,0.0008559390245321164,2.1703629002336707e-08,4.858102651661916e-09,18650.99936501961,0.0014598523303703595,0.033286399665847705
secondary,0.0074766182910370235,0.27376917009422114,0.2736670580705846,0.0006586180633578187,0,0.0074766182910370235,0.07494955849407858,0.024085138083283535,0.07489365867300872,0.018467701764826226,4.3377775338120375e-07,1.0696337077931393e-07,2882.4248073995054,-0.013551006425504037,0.19790476764221657
