energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.012151489038173716,0.09486337354178714,0.09408188430236601,0.00022390165968985454,0,-0.012151489038173716,0.00899905963972864,0.0009467079678160921,0.008851400953883783,0.0008657248934166991,5.013195321187143e-08,4.903232841584839e-09,10132.684936306183,0.0030404573006030497,0.05617401696967237
primary,0.0007546794788671087,0.058806619340302756,0.05880177664934493,0.00014008539674130983,0,0.0007546794788671087,0.0034582184782352703,0.0008034831382175102,0.003457648937119447,0.0007915238631743022,1.9623918380170183e-08,4.492300973686996e-09,20090.69519187863,0.002073870665260257,0.030830128068256104
secondary,0.0015655886286749542,0.26795329696427855,0.26794872324060925,0.000643365727026498,0,0.0015655886286749542,0.07179896935402684,0.02247989901923055,0.0717965182862726,0.017324807018930063,4.139194587123344e-07,9.98805361978435e-08,2967.3111330060633,-0.020618050170380445,0.19254335880944765
