energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.010022845005071005,0.09488514049293209,0.09435429224135902,0.00022454841102959893,0,-0.010022845005071005,0.00900318988636346,0.0009134273358611794,0.008902732464367784,0.0008323699077312621,5.04219888959177e-08,4.714254462088025e-09,10111.148326702498,0.005209810003530808,0.054082441744822275
primary,0.0004427342105850134,0.05847915884848661,0.058477482897653074,0.00013931372622825932,0,0.0004427342105850134,0.00341981201962653,0.0007533544551898504,0.003419616006045308,0.0007416593409402683,1.9408314315602387e-08,4.2093491136503134e-09,19776.76226255946,0.0018555547362713093,0.031076438831131252
secondary,0.013011262090968917,0.27064579287332796,0.2703328545679057,0.0006494103309103329,0,0.013011262090968917,0.07324914520003234,0.02332275259106625,0.07307985225883246,0.017957315318530828,4.2173377789306807e-07,1.0362919732347664e-07,2939.1000376457996,-0.008966055095934207,0.19416336900858902
