energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.008760007871158743,0.09435256006090562,0.09394502569132672,0.0002235744830792713,0,-0.008760007871158743,0.008902405590046802,0.0009093034874518317,0.008825667852144038,0.0008300506621621352,4.998554948416337e-08,4.701121676337343e-09,10086.423126349418,0.005809349710830399,0.05471156945109019
primary,-0.0008320626035803028,0.05882070603833572,0.058814820671936316,0.00014011031507338867,0,-0.0008320626035803028,0.0034598754588483042,0.0007828559399430844,0.0034591831306720272,0.0007708852017523436,1.9630900389964248e-08,4.374781570109524e-09,19505.882919926058,0.0010035377965778181,0.031982905524920516
secondary,0.019359955571353695,0.27247934468699014,0.27179070146222223,0.0006538165879746997,0,0.019359955571353695,0.07424499328105158,0.02416258977025973,0.0738701854013268,0.018650270742956335,4.2747613071087833e-07,1.0792643243814135e-07,2949.541544190655,-0.007857457293729067,0.19174384392172192
