energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.008054243546874992,0.09449043110540989,0.0941465386053775,0.00022405520816448011,0,-0.008054243546874992,0.008928441570486213,0.0008999099800676643,0.008863570731373836,0.000820192911190078,5.0200736305628515e-08,4.64533869049601e-09,9809.74217284279,0.005139559119622968,0.05859863353506315
primary,-0.0007742767044838322,0.05945945538035041,0.059454413879145886,0.00014163629779373666,0,-0.0007742767044838322,0.0035354268341278813,0.0007564828981814053,0.003534827329712775,0.0007439836552819338,2.0060840852716054e-08,4.222253681298083e-09,18859.37202943879,0.0013336264793639419,0.0332840223292836
secondary,0.01898904413615118,0.2722887146724234,0.2716257726003843,0.0006532407242474075,0,0.01898904413615118,0.07414114413796039,0.02398979849212846,0.07378056034075568,0.01849288923804264,4.2672344381527757e-07,1.0695702696355008e-07,2948.874748318001,-0.005195219243075278,0.19181158655277078
