energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.011542823303409862,0.09483047893327168,0.0941253577145922,0.00022400509450037163,0,-0.011542823303409862,0.008992819734713683,0.0009190626175078898,0.00885958296489994,0.0008381918107268339,5.017828236212043e-08,4.747291776475066e-09,9761.350581754574,0.0036050813409563205,0.059166412679138886
primary,-0.0022503354783332697,0.059285193639948955,0.05924246935401324,0.00014113669032046736,0,-0.0022503354783332697,0.003514734184926244,0.0007517299927445437,0.0035096701751611984,0.0007393766363538545,1.9919565354615504e-08,4.196423166416181e-09,19126.1699867453,-0.000614496162245746,0.03217469313139824
secondary,0.018946802743248888,0.2732866259889669,0.27262904946142824,0.0006566841252129177,0,0.018946802743248888,0.07468557994443348,0.02452514863532007,0.07432659861024189,0.018947212783683706,4.312340403066549e-07,1.0992946366486817e-07,2928.2150843072413,-0.010246655408336549,0.1943291917093885
