energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
primary,0.008084328856315734,0.06794673911587197,0.06746408661964755,0.00016075138553254214,0,0.008084328856315734,0.004616759356480366,0.0013762059307410766,0.004551402983423307,0.0013548914637854276,2.5841007950631994e-08,7.69252057342301e-09,19786.067154126697,0.007388561718945774,0.03196453313749995
total,-0.020622990785174905,0.10783140717808609,0.10584094021256986,0.0002518824685390009,0,-0.020622990785174905,0.011627612374006197,0.0015401297814362186,0.011202304625080787,0.0014049284119160765,6.344477795730078e-08,7.956877992797474e-09,8657.978548867462,0.003290121535285918,0.06615083225680321
secondary,-0.02354669059132547,0.2981092618627717,0.2971778682381361,0.0007177547466610217,0,-0.02354669059132547,0.08886913200836659,0.02901907148864699,0.08831468537056297,0.021121348864726504,5.151718763544274e-07,1.2320855676630764e-07,2488.4978615053565,-0.04861553612663131,0.23676898509991043
