energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.010191891198644202,0.09438736756213222,0.0938354970632332,0.0002232216211892561,0,-0.010191891198644202,0.008908975155309048,0.0009081470146936345,0.008805100509104047,0.0008287771763757206,4.982789216635975e-08,4.690033887937024e-09,9975.13082798518,0.00488882398112128,0.05692841191395241
primary,-0.0005073399678729039,0.058689575235672524,0.058687382353455365,0.0001397691945195239,0,-0.0005073399678729039,0.0034444662413436653,0.0007519687281634169,0.003444208847500664,0.0007401043804756607,1.9535427736636512e-08,4.197845218602882e-09,19528.581877462813,0.0010912508346012095,0.031971704706967
secondary,0.01551391690084757,0.27030050783779563,0.26985492939682204,0.0006483595346015589,0,0.01551391690084757,0.07306236453737021,0.023330076790703855,0.0728216829197638,0.01799196767891228,4.2037008610875013e-07,1.038603435021347e-07,2934.8827408391494,-0.012340412838114972,0.19587091746963606
