energy,mean,rms,stdev,stderr,median,m1,m2,m4,x1var,x2var,m1var,m2var,a,mu,sigma
total,-0.009802233880452102,0.09436351060393952,0.09385301457306912,0.00022326367113383058,0,-0.009802233880452102,0.008904472133499807,0.0009060620231634933,0.008808388344452724,0.0008267723991872187,4.9846666848155255e-08,4.678704744834438e-09,10150.832200345978,0.005302020611229872,0.05413269997229397
primary,0.0016302837395670928,0.05922168591539061,0.05919924203560107,0.00014098732464185986,0,0.0016302837395670928,0.003507208082661174,0.000768888392469493,0.003504550257589677,0.0007565878839344091,1.9877425709669187e-08,4.2912837169826785e-09,19488.64240972023,0.0028457149113385047,0.03201631302538987
secondary,0.007824729395336193,0.2698917941565527,0.269778342649911,0.0006476682001266214,0,0.007824729395336193,0.07284158055304302,0.023193520771440834,0.07278035416293278,0.01788762491397538,4.194740974552574e-07,1.030964386297188e-07,2956.3345437127145,-0.014487579743811567,0.19369413711222935
